address,chain_id,decimals,dex_id,name,pair_id,symbol
0xa776f5b86cc520861f55a261515264e3bd86e72e,1501795822,18,527,Sphynx Labs,15,SPHYNX
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,18,527,Wrapped OMNIA,15,WOMNIA
0x747f964f5703f612e7bf7f9531747998d2925299,1501795822,8,527,BlockVerse,16,BLOCK
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,18,527,Wrapped OMNIA,16,WOMNIA
0xb2a982b04160ab56d4c2e4ab02554980329d2b71,1501795822,18,527,Sphynx Omnia,17,SPHYNX
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,18,527,Wrapped OMNIA,17,WOMNIA
0xb8495e37af913e199fba4efe65bcdd0e6df5558f,1501795822,8,527,BrickVerse,18,BRICK
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,18,527,Wrapped OMNIA,18,WOMNIA
0xcb3e9919c56eff1004e54175a01e39163a352129,3797,18,376,Wrapped ALV,20,WALV
0x6f0c516b4cae5424bbb0329797a7a7ee4c70309d,3797,18,376,Quark 2.0,20,QUARK
0x79499bbea6deaa580abbeb6a902f7c3045495967,3797,18,376,Elves DEX,21,ELVES
0xfd5e89ea9e84dfb096d934a9bd1a4ae07ab6d03d,3797,18,376,Sabio,21,SB
0x79499bbea6deaa580abbeb6a902f7c3045495967,3797,18,376,Elves DEX,22,ELVES
0xcb3e9919c56eff1004e54175a01e39163a352129,3797,18,376,Wrapped ALV,22,WALV
0xfd5e89ea9e84dfb096d934a9bd1a4ae07ab6d03d,3797,18,376,Sabio,23,SB
0xcb3e9919c56eff1004e54175a01e39163a352129,3797,18,376,Wrapped ALV,23,WALV
0x9345bc2d883e8e59396209105180fa43332f609b,3797,18,376,pepe the elf,24,pepe
0xcb3e9919c56eff1004e54175a01e39163a352129,3797,18,376,Wrapped ALV,24,WALV
